ASAP;As soon as possible
asst;Assistant
AAQS;Ambient Air Quality Standard
AAU;Assigned amount units
ABF;Aquatic Base Flow
ABT;Availability based tariff
ACA;Annual Charge Adjustment
ACEEE;American Council for an Energy Efficient Economy
ACRS;Accelerated Cost Recovery System
ADITC;Accumulated Deferred Investment Tax Credit
ADR;Asset Depreciation Range
ADTV;Average Daily Trading Volume
AEP;American Electric Power
AESO;Alberta Electric System Operator
AFE;Authority for Expenditure
AFUDC;allowance for funds used during construction
AFUE;annual fuel utilization efficiency
AFV;Alternative fuel vehicle
AGA;American Gas Association
AGC;Automatic generation control
AGD;Associated Gas Distributors
AHT;After Hours Trading
AIMA;Agricultural Impact Mitigation Agreement
AIR;Assumed Interest Rate
ALJ;Administrative law judge
AMBO;Armenia  Macedonia  Bulgaria Oil pipeline
AMI;Advanced metering infrastructure
AMR;Automated meter reading
AMRA;Automatic Meter Reading Association
ANGTA;Alaskan Natural Gas Transportation Act
ANGTS;Alaskan Natural Gas Transportation System
ANSI;American National Standards Institute
AOS;Authorized Overrun Service
AP;Accounts payable
APA;Administrative Procedure Act
APE;Area of potential effect
API;American Petroleum Institute
APPA;American Public Power Association
APR;Actual peak reduction
AQCR;Air Quality Control Region
ARM;Adjustable Rate Mortgage
ARPU;Average revenue per user
ASCC;Alaskan System Coordination Council
ASE;Alliance to Save Energy
ASP;Average selling price
ASTM;American Society for Testing and Materials
ATC;Available transfer capability
AVR;Automatic Voltage Regulator
B2B;Business to business
B2C;Business to Consumer
BA;Balancing Authority
BACT;Best Available Control Technology
BAU;Business As Usual
BBLD;Barrel per day
BBLSD;Barrel per day
BCD;Barrel per day
BCF;billion cubic feet
BCP;Blackstart Capability Plan
BD;Business Development
BES;Bulk electric system
BIA;Bureau of Indian Affairs
BLM;Bureau of Land Management
BLS;Bureau of Labor Statistics
BOE;Barrel of oil equivalent
BBL;barrel
BPA;Bonneville Power Administration
BPL;Broadband over power line
BPS;Bulk Power System
BRIC;Brazil Russia India And China
BRU;Business Recovery Unit
BTL;building tightness limit
BTU;British thermal unit
BTX;benzene toluene and xylene
BuRec;United States Bureau of Reclamation
BWR;Boiling water reactor
C&F;Cost With Freight
C&I;Commercial and industrial customers
CA;Carbon Abatement
CAA;Clean Air Act
CAEM;Center for the Advancement of Energy Markets
CAFE;Corporate Average Fuel Economy standards
CAGR;Compound annual growth rate
CAISO;California Independent System Operator Corporation
CAO;Chief Accounting Officer
CAP;Capacity market programs
CAPEX;Capital Expenditures
CAPM;Capital asset pricing model
CARB;California Air Resources Board
CB;Current Bid
CBL;Customer Baseline Load
CBM;Capacity Benefit Margin
CBOB;Conventional Gasoline Blendstock for Oxygenate Blending
CCIP;Centre for Critical Infrastructure Protection
CCLIP;Conditional Credit Line for Investment Projects
CCPG;Colorado Coordinated Planning Group
CCPP;Combined cycle power plant
CD;Certificate of Deposit
CDD;Cooling degree day
CDH;cooling degree hours
CDM;Clean Development Mechanism
CDO;Collateralized debt obligation
CDS;Credit default swap
CEA;Country Environmental Analysis
CEC;California Energy Commission
CEEC;Central and Eastern European Countries
CEO;Chief executive officer
CEP;Clean Energy Partnership
CEPII;Centre d Etudes Prospectives et d Informations Internationales
CEPS;Centre for European Policy Studies
CEQ;Council on Environmental Quality
CER;Certified Emission Reduction
CERA;Cambridge Energy Research Associates
CERCLA;Comprehensive Environmental Response  Compensation  and Liability Act
CERCLIS;Comprehensive Environmental Response  Compensation  and Liability Information System
CERTS;Consortium for Electric Reliability Technology Solutions
CFA;Chartered Financial Analyst
CFC;Consumption of fixed capital
CFCT;Cash Flow Cycle Time
CFD;Contract for difference
CFL;compact fluorescent light
CFM;Certified Financial Manager
CFO;Chief Financial Officer
CFS;Consolidated Financial Statement
CFS;cubic feet per second
CFTC;Commodity Futures Trading Commission
CHP;Combined heat and power
CIA;Certified Internal Auditor
CIAC;Contributions in Aid of Construction
CIF;Cost Insurance With Freight
CIMA;Chartered Institute of Management Accountants
CIO;Chief Investment Officer
CIP;Critical Infrastructure Protection
CISA;Certified Information Systems Auditor
CMA;Certified Management Accountant
CMO;Chief Marketing Officer
CMP;Current Market Price
CMVE;Competitive Market Value Estimate
CNG;Compressed natural gas
CO;Carbon monoxide
COA;Chart of Account
COB;Close of Business
COC;Cost of capital
COE;Corps of Engineers
COGS;Cost of Goods Sold
COO;Chief Operating Officer
COP;coefficient of performance
Corp;Corporation
CP;Coincident Peak
CPA;California Power Authority
CPC;Cost Per Click
CPFF;Commercial Paper Funding Facility
CPI;Consumer Price Index
CPP;Critical Peak Pricing
CPPI;Constant Proportion Portfolio Insurance
CPS;Control Performance Standard
CPS;Cycles per second
